Product_ID,Product_Name,Product_Category,Unit_Cost,Selling_Price,Product_Status
P0001,Men's Cotton T-Shirt,Apparel,943.08,1664.65,Active
P0002,Yoga Mat,Sports & Fitness,2920.16,7195.9,Active
P0003,Spiral Notebook,Stationery & Office,295.24,387.13,Active
P0004,First Aid Kit,Pharma & Healthcare,1066.97,1989.16,Active
P0005,Sunflower Oil 1L,Grocery & FMCG,533.79,622.65,Active
P0006,Sunflower Oil 1L,Grocery & FMCG,266.14,486.92,Active
P0007,LED Monitor,Electronics,4354.51,5363.19,Active
P0008,Action Figure Pack,Toys & Games,1458,1927.89,Active
P0009,Digital Thermometer,Pharma & Healthcare,936.74,1236.88,Active
P0010,Whiteboard Marker Set,Stationery & Office,377.97,790.47,Discontinued
P0011,Cordless Kettle Charger,Electronics,14099.8,31467.44,Active
P0012,Yoga Mat,Sports & Fitness,1724.9,3442.7,Active
P0013,Office Chair,Furniture,16997.45,43261.06,Active
P0014,Basmati Rice 5kg,Grocery & FMCG,258.14,437.18,Active
P0015,Sunflower Oil 1L,Grocery & FMCG,316.76,495.5,Active
P0016,Sunflower Oil 1L,Grocery & FMCG,542.13,1306.25,Active
P0017,Running Shorts,Apparel,1172.01,1727.79,Active
P0018,VACUUM FLASK,Home & Kitchen,1440.61,3668.76,Active
P0019,Non-Stick Frying Pan,Home & Kitchen,1346.06,1571.69,Active
P0020,Whole Wheat Flour 5kg,Grocery & FMCG,139.66,357.02,Active
P0021,First Aid Kit,Pharma & Healthcare,1467.33,1779.26,Active
P0022,Cordless Kettle Charger,Electronics,9369.3,22881.31,Active
P0023,Sunflower Oil 1L,Grocery & FMCG,241.16,461.86,Active
P0024,Formal Shirt,Apparel,2003.72,5189.23,Discontinued
P0025,Vacuum Flask,Home & Kitchen,2113.7,2656.93,Active
P0026,Study Table,Furniture,21718.02,42417.22,Active
P0027,Basmati Rice 5kg,Grocery & FMCG,183.97,470.13,Discontinued
P0028,Stainless Steel Bottle Set,Home & Kitchen,5600,10687.55,Active
P0029,Hand Sanitizer 500ml,Pharma & Healthcare,2085.12,4300.83,Active
P0030,USB-C Hub,Electronics,5146.33,11110.08,Active
P0031,Multivitamin Tablets,Pharma & Healthcare,892.75,1615.06,Active
P0032,Sunflower Oil 1L,Grocery & FMCG,267.29,550.61,Active
P0033,Power Bank,Electronics,7064.85,14110.31,Active
P0034,Cricket Bat,Sports & Fitness,3715.49,9127.77,Active
P0035,Yoga Mat,Sports & Fitness,3294.09,4005.27,Active
P0036,Office Chair,Furniture,10124.53,15767.91,Active
P0037,Formal Shirt,Apparel,867.63,2193.45,Active
P0038,LED Monitor,Electronics,3704.1,9041.27,Active
P0039,Car Battery 12V,Automotive Parts,3319.62,6010.84,Active
P0040,LED Table Lamp,Home & Kitchen,3222.43,6603.38,Active
P0041,Bluetooth Speaker,Electronics,8792.59,13647.88,Active
P0042,Non-Stick Frying Pan,Home & Kitchen,1126.45,1602.69,Active
P0043,Digital Multimeter,Electronics,8614.56,15698.85,Active
P0044,Action Figure Pack,Toys & Games,1273.09,2116.33,Active
P0045,Basmati Rice 5kg,Grocery & FMCG,134.99,269.48,Active
P0046,Wiper Blade Pair,Automotive Parts,4481.56,5658.93,Active
P0047,Men's Cotton T-Shirt,Apparel,1364.13,3496.09,Active
P0048,Vacuum Flask,Home & Kitchen,1185.84,3059.47,Active
P0049,Multivitamin Tablets,Pharma & Healthcare,1823.74,3943.54,Active
P0050,Roasted Almonds 500g,Grocery & FMCG,277.97,535.74,Active
P0051,Resistance Bands,Sports & Fitness,4468.43,7144.19,Active
P0052,Spiral Notebook,Stationery & Office,431.89,1006.3,Active
P0053,Resistance Bands,Sports & Fitness,1305.62,2797.76,Active
P0054,Remote Control Car,Toys & Games,656.97,910.43,Discontinued
P0055,Digital Thermometer,Pharma & Healthcare,1972.91,4874.75,Active
P0056,Building Blocks Set,Toys & Games,1357.55,3180.3,Active
P0057,Power Bank,Electronics,10220.41,25829.12,Active
P0058,Green Tea Pack,Grocery & FMCG,560,1233.28,Active
P0059,LED Monitor,Electronics,10509.8,21434.23,Active
P0060,Women's Denim Jacket,Apparel,2337.76,4106.16,Active
P0061,Men's Cotton T-Shirt,Apparel,2134.89,5342.47,Active
P0062,Instant Noodles Box,Grocery & FMCG,290.85,699.72,Active
P0063,Study Table,Furniture,8968.7,10902.06,Active
